adm1	wet_start	wet_end	dry_start	dry_end
Abia	April 	October	November	March
Adamawa	May	October	November	April
Akwa Ibom	April	October	November 	March
Anambra	March	October	November	February
Bauchi	June	October	November 	May 
Bayelsa	May 	November	December	April
Benue	April 	October	November 	March
Borno	June	September	October	May 
Cross River	May	October	November	April
Delta	March	November	December	February
Ebonyi	March	October	November	February
Edo	April	October	November	March
Ekiti	April	October	November	March
Enugu	February	December	January	January
Federal Capital Territory	March 	October	November 	February
Gombe	May 	October	November	April
Imo	April	October	November	March
Jigawa	April	October	November	March
Kaduna	March  	November 	December	February
Kano	May	October	November	April
Katsina	May	October	November	April
Kebbi	April	October	November	March
Kogi	April	October	November 	March
Kwara	May	September	October	April
Lagos	March	October	November	February
Nasarawa	March	October	November	February
Niger	April	October	November	March
Ogun	March	September	October	February
Ondo	May	October	November	April
Osun	March	October	November 	February
Oyo	April 	October	November 	March
Plateau	May	August	September	April
Rivers	April	October	November	March
Sokoto	May	October	November	April
Taraba	May	October	November	April
Yobe	May/June	September/October	October/November	April/May
Zamfara	May 	September	October	April